                                          ,coriolis.tirl       ,           
PARAMETER                                 ,VALUE                , UNITS     
Performance                               ,5.3             , GBop/sec  
Frequency                                 ,90.9               , MHz       
alutsTotal                                ,46988          ,           
regsTotal                                 ,62464           ,           
bramTotal                                 ,1           ,           
dspTotal                                  ,13            ,           
Host sust' BW                             ,63000           , Mbps      
Gl-Mem sust' BW                           ,47424           , Mbps      
Size of 1 input array (n_gs)              ,64                ,           
Firing interval/II (n_to)                 ,1                ,           
Total word operations per kernel (n_wops) ,16              ,           
Words per tuple (from GMEM)      (w_pt)   ,8                ,           
Size of problem (array size in words)     ,64                ,           
Word size in bits (w_s_bits)              ,32            ,           
Bytes per word (b_pw)                     ,4                ,           
Kernel Pipeline  Latency (k_pd)           ,6                ,           
CP of one PE                              ,5.3         , GBops/sec 
CP of one PE (Asymptotic)                 ,5.8  , GBops/sec 
Theoretical maximum PE scaling            ,51.6          ,           
Computation-Bound: CP_PE  x SCALE         ,5.3       , GBops/sec 
Bandwidth-Bound:   CI x BW                ,11.9             , GBops/sec 
Computational Intensity                   ,2                  , Byte-op/Byte-trasfer
alutsKernel                               ,4716         ,           
regsKernel                                ,1152          ,           
bramKernel                                ,1          ,           
dspKernel                                 ,13           ,           
alutsBasePlat                             ,42272       ,           
regsBasePlat                              ,61312        ,           
bramBasePlat                              ,        ,           
dspBasePlat                               ,0         ,           
